Z_PK,Z_ENT,Z_OPT,Z3RECRRINTERVALS,Z_FOK_3RECRRINTERVALS,ZABSVALUEPREV,ZTIMESTAMP,ZVALUE
1,5,1,1,23552,22684.0,502544432.596156,912.0
2,5,1,1,11264,10815.0,502544420.57829,909.0
3,5,1,1,24576,23614.0,502544433.592211,930.0
4,5,1,1,17408,16927.0,502544426.57853,995.0
5,5,1,1,20480,19856.0,502544429.578396,954.0
6,5,1,1,5120,5075.0,502544414.578039,1040.0
7,5,1,1,18432,17885.0,502544427.57812,958.0
8,5,1,1,49152,43743.0,502544457.534218,1033.0
9,5,1,1,47104,41677.0,502544455.538165,1095.0
10,5,1,1,48128,42710.0,502544456.535604,1033.0
11,5,1,1,2048,2020.0,502544411.577933,1010.0
12,5,1,1,9216,9047.0,502544418.56806,929.0
13,5,1,1,10240,9906.0,502544419.558275,859.0
14,5,1,1,21504,20822.0,502544430.568409,966.0
15,5,1,1,12288,11797.0,502544421.569026,982.0
16,5,1,1,27648,26111.0,502544435.587308,772.0
17,5,1,1,16384,15932.0,502544425.558134,1043.0
18,5,1,1,44032,38849.0,502544451.548017,742.0
19,5,1,1,38912,35185.0,502544446.560482,808.0
20,5,1,1,41984,37410.0,502544448.555303,715.0
21,5,1,1,37888,34377.0,502544445.562661,825.0
22,5,1,1,33792,31114.0,502544440.574935,826.0
23,5,1,1,32768,30288.0,502544439.57751,845.0
24,5,1,1,56320,50501.0,502544463.518411,1002.0
25,5,1,1,57344,51494.0,502544464.516052,993.0
26,5,1,1,46080,40582.0,502544452.545372,910.0
27,5,1,1,45056,39672.0,502544451.548036,823.0
28,5,1,1,7168,7104.0,502544416.558069,1036.0
29,5,1,1,19456,18902.0,502544428.558341,1017.0
30,5,1,1,6144,6068.0,502544415.56797,993.0
31,5,1,1,4096,4035.0,502544413.557966,1039.0
32,5,1,1,50176,44719.0,502544458.530729,976.0
33,5,1,1,28672,26929.0,502544436.585121,818.0
34,5,1,1,52224,46588.0,502544459.528888,927.0
35,5,1,1,14336,13814.0,502544423.578647,1072.0
36,5,1,1,22528,21772.0,502544431.558379,950.0
37,5,1,1,51200,45661.0,502544459.528869,942.0
38,5,1,1,15360,14889.0,502544424.568646,1075.0
39,5,1,1,13312,12742.0,502544422.55817,945.0
40,5,1,1,8192,8118.0,502544417.577984,1014.0
41,5,1,1,3072,2996.0,502544412.567951,976.0
42,5,1,1,26624,25339.0,502544434.589874,867.0
43,5,1,1,25600,24472.0,502544434.589863,858.0
44,5,1,1,43008,38107.0,502544450.55038,697.0
45,5,1,1,40960,36695.0,502544447.557896,740.0
46,5,1,1,39936,35955.0,502544447.557878,770.0
47,5,1,1,36864,33552.0,502544444.565253,806.0
48,5,1,1,34816,31952.0,502544441.572485,838.0
49,5,1,1,35840,32746.0,502544442.570216,794.0
50,5,1,1,58368,52455.0,502544465.513703,961.0
51,5,1,1,55296,49499.0,502544462.520967,993.0
52,5,1,1,30720,28552.0,502544438.579938,785.0
53,5,1,1,29696,27767.0,502544437.582795,838.0
54,5,1,1,54272,48506.0,502544461.523261,973.0
55,5,1,1,31744,29443.0,502544439.577493,891.0
56,5,1,1,53248,47533.0,502544460.525663,945.0
57,5,1,1,68608,60668.0,502544474.990265,875.0
58,5,1,1,67584,59793.0,502544473.493799,783.0
59,5,1,1,71680,63336.0,502544477.483963,856.0
60,5,1,1,112640,94946.0,502544509.405111,702.0
61,5,1,1,76800,67472.0,502544481.474225,860.0
62,5,1,1,109568,92708.0,502544506.412619,757.0
63,5,1,1,105472,89628.0,502544503.420435,765.0
64,5,1,1,88064,75579.0,502544489.454462,678.0
65,5,1,1,103424,88108.0,502544502.427197,782.0
66,5,1,1,64512,57451.0,502544470.501255,774.0
67,5,1,1,122880,102454.0,502544518.41166,820.0
68,5,1,1,59392,53357.0,502544466.511063,902.0
69,5,1,1,89088,76295.0,502544490.452302,716.0
70,5,1,1,128000,106754.0,502544521.379273,867.0
71,5,1,1,74752,65816.0,502544480.47673,816.0
72,5,1,1,116736,97778.0,502544512.400236,743.0
73,5,1,1,121856,101634.0,502544518.408741,857.0
74,5,1,1,92160,78737.0,502544492.945803,869.0
75,5,1,1,81920,71470.0,502544485.963275,716.0
76,5,1,1,129024,107594.0,502544521.379289,840.0
77,5,1,1,101376,86587.0,502544500.427499,804.0
78,5,1,1,108544,91951.0,502544506.412602,787.0
79,5,1,1,60416,54256.0,502544467.508679,899.0
80,5,1,1,113664,95637.0,502544509.405141,691.0
81,5,1,1,97280,83245.0,502544496.936011,851.0
82,5,1,1,83968,72853.0,502544487.459795,697.0
83,5,1,1,132096,109844.0,502544524.372802,699.0
84,5,1,1,70656,62480.0,502544476.486437,930.0
85,5,1,1,114688,96343.0,502544510.901476,706.0
86,5,1,1,120832,100777.0,502544518.408726,752.0
87,5,1,1,62464,55917.0,502544469.503802,805.0
88,5,1,1,115712,97035.0,502544511.401345,692.0
89,5,1,1,87040,74901.0,502544489.454445,671.0
90,5,1,1,125952,105042.0,502544519.884089,846.0
91,5,1,1,99328,84993.0,502544498.931002,860.0
92,5,1,1,79872,70009.0,502544484.466871,776.0
93,5,1,1,102400,87326.0,502544502.422305,739.0
94,5,1,1,107520,91164.0,502544505.417035,753.0
95,5,1,1,130048,108389.0,502544522.373169,795.0
96,5,1,1,94208,80619.0,502544493.943307,895.0
97,5,1,1,90112,77016.0,502544491.449751,721.0
98,5,1,1,75776,66612.0,502544480.476747,796.0
99,5,1,1,133120,110552.0,502544524.372818,708.0
